status,supplierArticle,incomeId,techSize,warehouseName,dateClose,barcode,number,totalPrice,nmId,date,lastChangeDate,quantity
,RA610,672465,98,Подольск2,2020-03-01T22:55:00,5021463351091,M-Mos00271074,3297,11339483,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VA014,672465,68,Подольск2,2020-03-01T22:55:00,5021464129361,M-Mos00271074,4995,11339488,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VA017,672465,56,Подольск2,2020-03-01T22:55:00,5021464134068,M-Mos00271074,5995,11339489,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VA017,672465,86,Подольск2,2020-03-01T22:55:00,5021464134112,M-Mos00271074,5995,11339489,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VA124,672465,68,Подольск2,2020-03-01T22:55:00,5021464149765,M-Mos00271074,7497,11339499,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VA215,672465,74,Подольск2,2020-03-01T22:55:00,5021464128982,M-Mos00271074,4995,11339501,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VA382,672465,74,Подольск2,2020-03-01T22:55:00,5021464138059,M-Mos00271074,4497,11339503,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VA452,672465,50,Подольск2,2020-03-01T22:55:00,5021464129170,M-Mos00271074,5495,11339504,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VA452,672465,56,Подольск2,2020-03-01T22:55:00,5021464129187,M-Mos00271074,5495,11339504,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VB346,672465,110,Подольск2,2020-03-01T22:55:00,5021462018803,M-Mos00271074,2997,11339514,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VB346,672465,134,Подольск2,2020-03-01T22:55:00,5021462018841,M-Mos00271074,2997,11339514,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VB347,672465,98,Подольск2,2020-03-01T22:55:00,5021462020769,M-Mos00271074,2997,11339515,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VB371,672465,98,Подольск2,2020-03-01T22:55:00,5021462101192,M-Mos00271074,6597,11339518,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VB375,672465,98,Подольск2,2020-03-01T22:55:00,5021464250690,M-Mos00271074,3495,11339519,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VB407,672465,128,Подольск2,2020-03-01T22:55:00,5021465407581,M-Mos00271074,2997,11339522,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VB409,672465,98,Подольск2,2020-03-01T22:55:00,5021465407789,M-Mos00271074,2997,11339523,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VB417,672465,92,Подольск2,2020-03-01T22:55:00,5021464780302,M-Mos00271074,6495,11339524,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VB441,672465,140,Подольск2,2020-03-01T22:55:00,5050048209281,M-Mos00271074,6597,11339525,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VB441,672465,92,Подольск2,2020-03-01T22:55:00,5021462102519,M-Mos00271074,5397,11339525,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VB497,672465,128,Подольск2,2020-03-01T22:55:00,5021462552123,M-Mos00271074,2795,11339528,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VB497,672465,134,Подольск2,2020-03-01T22:55:00,5021462552147,M-Mos00271074,2795,11339528,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VB503,672465,128,Подольск2,2020-03-01T22:55:00,5021462559948,M-Mos00271074,3795,11339529,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VB503,672465,98,Подольск2,2020-03-01T22:55:00,5021462559825,M-Mos00271074,3495,11339529,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VB514,672465,140,Подольск2,2020-03-01T22:55:00,5021462081166,M-Mos00271074,3795,11339531,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VB516,672465,128,Подольск2,2020-03-01T22:55:00,5021462083139,M-Mos00271074,3795,11339533,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VB622,672465,110,Подольск2,2020-03-01T22:55:00,5021464086978,M-Mos00271074,5697,11339534,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VB622,672465,116,Подольск2,2020-03-01T22:55:00,5021464086985,M-Mos00271074,5697,11339534,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VB653,672465,98,Подольск2,2020-03-01T22:55:00,5021464086558,M-Mos00271074,5697,11339537,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VB709,672465,104,Подольск2,2020-03-01T22:55:00,707226617554,M-Mos00271074,4977,11339539,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VB709,672465,110,Подольск2,2020-03-01T22:55:00,707226615390,M-Mos00271074,4977,11339539,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VB712,672465,122,Подольск2,2020-03-01T22:55:00,5021464089306,M-Mos00271074,2877,11339540,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,TA212,672465,74,Подольск2,2020-03-01T22:55:00,5021463302994,M-Mos00271074,4995,11339485,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VA014,672465,86,Подольск2,2020-03-01T22:55:00,5021464129477,M-Mos00271074,4995,11339488,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VA017,672465,74,Подольск2,2020-03-01T22:55:00,5021464134099,M-Mos00271074,5995,11339489,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VA063,672465,74,Подольск2,2020-03-01T22:55:00,5021464127503,M-Mos00271074,5495,11339492,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VA076,672465,86,Подольск2,2020-03-01T22:55:00,5021464144098,M-Mos00271074,7497,11339493,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VA090,672465,56,Подольск2,2020-03-01T22:55:00,5021464140496,M-Mos00271074,4497,11339495,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VA099,672465,62,Подольск2,2020-03-01T22:55:00,5021464127152,M-Mos00271074,3897,11339497,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VA175,672465,74,Подольск2,2020-03-01T22:55:00,5021464133016,M-Mos00271074,1795,11339500,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VA300,672465,86,Подольск2,2020-03-01T22:55:00,5021464135652,M-Mos00271074,1795,11339502,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VA382,672465,62,Подольск2,2020-03-01T22:55:00,5021464138035,M-Mos00271074,4497,11339503,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VB287,672465,92,Подольск2,2020-03-01T22:55:00,5021462583943,M-Mos00271074,2793,11339507,2020-03-01T00:00:00,2020-03-01T23:03:38.753,7
,VB294,672465,104,Подольск2,2020-03-01T22:55:00,5021462072577,M-Mos00271074,4977,11339510,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VB325,672465,86,Подольск2,2020-03-01T22:55:00,5021462594840,M-Mos00271074,5997,11339512,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VB325,672465,92,Подольск2,2020-03-01T22:55:00,5021462594871,M-Mos00271074,5997,11339512,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VB343,672465,104,Подольск2,2020-03-01T22:55:00,5021462018148,M-Mos00271074,2997,11339513,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VB346,672465,140,Подольск2,2020-03-01T22:55:00,5021462019923,M-Mos00271074,2997,11339514,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VB347,672465,122,Подольск2,2020-03-01T22:55:00,5021462021308,M-Mos00271074,2997,11339515,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VB371,672465,140,Подольск2,2020-03-01T22:55:00,5021462102403,M-Mos00271074,7197,11339518,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VB371,672465,92,Подольск2,2020-03-01T22:55:00,5021462101178,M-Mos00271074,5997,11339518,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VB375,672465,104,Подольск2,2020-03-01T22:55:00,5021464262464,M-Mos00271074,3495,11339519,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VB379,672465,86,Подольск2,2020-03-01T22:55:00,5021464290375,M-Mos00271074,3495,11339520,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VB409,672465,116,Подольск2,2020-03-01T22:55:00,5021465407819,M-Mos00271074,2997,11339523,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VB409,672465,140,Подольск2,2020-03-01T22:55:00,5021465412523,M-Mos00271074,2997,11339523,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VB441,672465,98,Подольск2,2020-03-01T22:55:00,5021462102564,M-Mos00271074,5997,11339525,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VB497,672465,86,Подольск2,2020-03-01T22:55:00,5021462549932,M-Mos00271074,2295,11339528,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VB514,672465,110,Подольск2,2020-03-01T22:55:00,5021462081111,M-Mos00271074,3795,11339531,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VB514,672465,98,Подольск2,2020-03-01T22:55:00,5021462080626,M-Mos00271074,3795,11339531,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VB652,672465,104,Подольск2,2020-03-01T22:55:00,5021464086381,M-Mos00271074,7036,11339536,2020-03-01T00:00:00,2020-03-01T23:03:38.753,4
,VB652,672465,128,Подольск2,2020-03-01T22:55:00,5021464086428,M-Mos00271074,7596,11339536,2020-03-01T00:00:00,2020-03-01T23:03:38.753,4
,VB653,672465,110,Подольск2,2020-03-01T22:55:00,5021464086572,M-Mos00271074,5697,11339537,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VC010,672465,92,Подольск2,2020-03-01T22:55:00,5021464154202,M-Mos00271074,3777,11339545,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VC017,672465,86,Подольск2,2020-03-01T22:55:00,5021464153267,M-Mos00271074,5397,11339546,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VC017,672465,92,Подольск2,2020-03-01T22:55:00,5021464153274,M-Mos00271074,5397,11339546,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VC079,672465,122,Подольск2,2020-03-01T22:55:00,5021464159092,M-Mos00271074,3493,11339550,2020-03-01T00:00:00,2020-03-01T23:03:38.753,7
,VC090,672465,110,Подольск2,2020-03-01T22:55:00,5021464157975,M-Mos00271074,3493,11339552,2020-03-01T00:00:00,2020-03-01T23:03:38.753,7
,VC121,672465,110,Подольск2,2020-03-01T22:55:00,5021464167103,M-Mos00271074,1995,11339554,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VC152,672465,122,Подольск2,2020-03-01T22:55:00,5021464171544,M-Mos00271074,2793,11339557,2020-03-01T00:00:00,2020-03-01T23:03:38.753,7
,VC167,672465,104,Подольск2,2020-03-01T22:55:00,5021464164508,M-Mos00271074,5997,11339559,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VC223,672465,86,Подольск2,2020-03-01T22:55:00,5021464189990,M-Mos00271074,5398,11339563,2020-03-01T00:00:00,2020-03-01T23:03:38.753,2
,VC255,672465,86,Подольск2,2020-03-01T22:55:00,5021464181147,M-Mos00271074,5277,11339566,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VC278,672465,104,Подольск2,2020-03-01T22:55:00,5021464183615,M-Mos00271074,4995,11339567,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VC278,672465,110,Подольск2,2020-03-01T22:55:00,5021464183646,M-Mos00271074,4995,11339567,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VC321,672465,86,Подольск2,2020-03-01T22:55:00,5021464186067,M-Mos00271074,5795,11339569,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VC347,672465,116,Подольск2,2020-03-01T22:55:00,5021464173265,M-Mos00271074,3795,11339571,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VC495,672465,140,Подольск2,2020-03-01T22:55:00,5021462253853,M-Mos00271074,5097,11339575,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VC618,672465,110,Подольск2,2020-03-01T22:55:00,5021464014216,M-Mos00271074,6897,11339576,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VD001,672465,116,Подольск2,2020-03-01T22:55:00,5021462387275,M-Mos00271074,5495,11339579,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
